date measurement;celsius;humidity;moisture
2020-09-01_13:00:03;24.7;70.4;789
2020-09-01_13:30:03;24.6;70.9;780
2020-09-01_14:00:03;24.8;72.4;763
2020-09-01_14:30:03;25.0;71.8;750
2020-09-01_15:00:04;24.6;70.2;755
2020-09-01_15:30:04;25.2;68.4;755
2020-09-01_16:00:04;25.1;63.1;789
2020-09-01_16:30:05;25.0;62.1;755
2020-09-01_17:00:05;25.0;62;794
2020-09-01_17:30:05;24.7;66.8;771
2020-09-01_18:00:06;25.2;70.4;787
2020-09-01_18:30:06;23.5;52.2;777
2020-09-01_19:00:06;23.8;62.4;770
2020-09-01_19:30:06;24.6;61.6;807
2020-09-01_20:00:07;24.8;71;772
2020-09-01_20:30:07;25.0;66.8;809
2020-09-01_21:00:07;25.0;70.2;776
2020-09-01_21:30:08;24.8;69.7;773
2020-09-01_22:00:08;25.1;70;766
2020-09-01_22:30:08;25.8;67.2;769
2020-09-01_23:00:08;25.6;61;796
2020-09-01_23:30:09;25.6;69;776
2020-09-02_00:00:09;24.8;66.9;796
2020-09-02_00:30:09;25.1;70.1;805
2020-09-02_01:00:10;24.8;69.9;747
2020-09-02_01:30:10;24.8;72.3;780
2020-09-02_02:00:10;24.5;70.9;818
2020-09-02_02:30:10;24.8;70;821
2020-09-02_03:00:11;24.7;67.3;827
2020-09-02_03:30:11;24.9;70;789
2020-09-02_04:00:11;24.7;68.2;823
2020-09-02_04:30:12;24.6;69.3;821
2020-09-02_05:00:12;24.7;68.5;815
2020-09-02_05:30:12;25.2;69.9;830
2020-09-02_06:00:13;24.7;69;792
2020-09-02_06:30:13;24.4;70.6;784
2020-09-02_07:00:13;24.2;65.5;793
2020-09-02_07:30:13;24.5;66.2;795
2020-09-02_08:00:14;24.5;58.5;833
2020-09-02_08:30:14;24.3;58.8;790
2020-09-02_09:00:14;24.7;53.7;824
2020-09-02_09:30:15;24.8;56.1;850
2020-09-02_10:00:15;24.8;53.3;818
2020-09-02_10:30:15;24.7;57.6;847
2020-09-02_11:00:16;25.0;53.9;846
2020-09-02_11:30:16;24.8;65.9;856
2020-09-02_12:00:16;24.8;66.8;856
2020-09-02_12:30:16;24.7;63.2;818
2020-09-02_13:00:17;24.0;63.8;823
2020-09-02_13:30:17;22.8;72.6;812
2020-09-02_14:00:17;22.3;72.7;831
2020-09-02_14:30:18;22.7;72.2;866
2020-09-02_15:00:18;24.0;70.7;838
2020-09-02_15:30:18;24.2;68.4;887
2020-09-02_16:00:18;24.5;66.3;884
2020-09-02_16:30:19;24.3;63.1;878
2020-09-02_17:00:19;23.3;76.7;849
2020-09-03_22:36:59;26.3;73.6;705
2020-09-03_22:56:59;25.9;71.5;724
2020-09-03_23:16:59;26.5;71.6;718
2020-09-03_23:36:59;25.6;75.3;719
2020-09-03_23:57:00;25.9;74;719
2020-09-04_00:17:00;25.6;73.9;722
2020-09-04_00:37:00;26.1;73.5;668
2020-09-04_00:57:00;25.6;72.6;679
2020-09-04_01:17:00;25.5;74.7;673
2020-09-04_01:37:00;25.5;71.2;694
2020-09-04_01:57:01;25.4;74;721
2020-09-04_02:17:01;25.9;72.9;722
2020-09-04_02:37:01;25.5;74;651
2020-09-04_02:57:01;25.6;72.2;687
2020-09-04_03:17:02;25.5;72.1;688
2020-09-04_03:37:02;25.7;73.5;708
2020-09-04_03:57:02;25.1;71.5;717
2020-09-04_04:17:02;25.4;70.3;715
2020-09-04_04:37:02;25.7;72.7;722
2020-09-04_04:57:03;25.3;74.4;717
2020-09-04_05:17:03;25.3;70.9;721
2020-09-04_05:37:03;25.3;71.1;679
2020-09-04_05:57:03;25.4;73.6;715
2020-09-04_06:17:03;24.6;68.6;714
2020-09-04_06:37:04;24.8;70.4;669
2020-09-04_06:57:04;25.4;69.2;720
2020-09-04_07:17:04;25.6;72.7;673
2020-09-04_07:37:04;25.4;70.9;725
2020-09-04_07:57:04;25.5;66.9;635
2020-09-04_08:17:05;26.3;70;700
2020-09-04_08:37:05;25.9;70.4;718
2020-09-04_08:57:05;25.9;70.6;673
2020-09-04_09:17:05;25.9;71.4;714
2020-09-04_09:37:05;26.3;70.3;711
2020-09-04_09:57:06;26.5;72.3;724
2020-09-04_10:17:06;25.8;71.2;659
2020-09-04_10:37:06;26.0;75.7;707
2020-09-04_10:57:06;25.9;75.6;673
2020-09-04_11:17:06;25.9;75.9;666
2020-09-04_11:37:06;26.1;74.2;720
2020-09-04_11:57:07;26.1;76.3;717
2020-09-04_12:17:07;25.6;76.6;643
2020-09-04_12:37:07;26.4;72.8;674
2020-09-04_12:57:07;26.3;73.6;688
2020-09-04_13:17:08;26.4;75.4;720
2020-09-04_13:37:08;26.6;75.8;708
2020-09-04_13:57:08;26.9;74.7;675
2020-09-04_14:17:08;26.5;72.2;705
2020-09-04_14:37:08;26.3;76.2;671
2020-09-04_14:57:08;27.0;75.9;678
2020-09-04_15:17:09;26.4;74.1;715
2020-09-04_15:37:09;26.6;73.8;678
2020-09-04_15:57:09;26.7;72.7;673
2020-09-04_16:17:09;27.0;72.3;721
2020-09-04_16:37:10;26.7;69.3;680
2020-09-04_16:57:10;26.4;72.1;696
2020-09-04_17:17:10;26.9;70.6;682
2020-09-04_17:37:10;26.6;70.8;716
2020-09-04_17:57:10;26.8;64.4;673
2020-09-04_18:17:10;26.5;70.5;720
2020-09-04_18:37:11;26.3;71.7;676
2020-09-04_18:57:11;26.2;71.1;676
2020-09-04_19:17:11;26.3;73.3;672
2020-09-04_19:37:11;25.8;74.4;671
2020-09-04_19:57:11;25.3;73.7;679
2020-09-04_20:17:12;25.9;73.1;713
2020-09-04_20:37:12;26.9;72.9;683
2020-09-04_20:57:12;26.5;74.3;659
2020-09-04_21:17:12;26.5;73.8;668
2020-09-04_21:37:12;26.7;73.8;718
2020-09-04_21:57:13;26.6;74.3;712
2020-09-04_22:17:13;26.9;72.2;721
2020-09-04_22:37:13;26.9;73;699
2020-09-04_22:57:13;27.1;74;723
2020-09-04_23:17:13;26.9;73.8;692
2020-09-04_23:37:14;27.0;73.2;723
2020-09-04_23:57:14;26.9;75.1;718
2020-09-05_00:17:14;26.8;73.6;667
2020-09-05_00:37:14;27.0;75.3;717
2020-09-05_00:57:14;26.8;75.5;675
2020-09-05_01:17:15;26.4;76.4;717
2020-09-05_01:37:15;26.4;73.1;685
2020-09-05_01:57:15;26.3;76.2;716
2020-09-05_02:17:15;26.3;75.5;694
2020-09-05_02:37:15;26.3;75;713
2020-09-05_02:57:16;26.2;74.9;703
2020-09-05_03:17:16;26.3;74.7;688
2020-09-05_03:37:16;26.1;74.4;679
2020-09-05_03:57:16;26.4;74.6;679
2020-09-05_04:17:16;26.3;76.5;700
2020-09-05_04:37:17;26.1;73.8;669
2020-09-05_04:57:17;26.1;73.6;666
2020-09-05_05:17:17;26.2;76.1;719
2020-09-05_05:37:17;26.1;74.2;681
2020-09-05_05:57:17;26.4;73.5;677
2020-09-05_06:17:18;26.3;74.1;714
2020-09-05_06:37:18;26.3;74.2;721
2020-09-05_06:57:18;26.1;75.1;715
2020-09-05_07:17:18;26.1;73.6;705
2020-09-05_07:37:18;26.2;73.7;683
2020-09-05_07:57:19;25.7;67.5;671
2020-09-05_08:17:19;26.0;59.5;693
2020-09-05_08:37:19;26.4;58.2;710
2020-09-05_08:57:19;26.7;70.3;720
2020-09-05_09:17:19;26.7;61.8;685
2020-09-05_09:37:20;26.2;62.4;719
2020-09-05_09:57:20;26.0;70.4;719
2020-09-05_10:17:20;26.2;71;671
2020-09-05_10:37:20;26.5;70.1;715
2020-09-05_10:57:20;26.3;61.6;718
2020-09-05_11:17:21;26.3;65.8;679
2020-09-05_11:37:21;24.4;73;708
2020-09-05_11:57:21;23.3;59.6;689
2020-09-05_12:17:21;23.7;67.3;704
2020-09-05_12:37:21;25.4;64.3;678
2020-09-05_12:57:22;25.5;63.9;666
2020-09-05_13:17:22;25.9;63.1;708
2020-09-05_13:37:22;25.6;66.9;671
2020-09-05_13:57:22;24.7;62.5;714
2020-09-05_14:17:22;23.9;70.5;676
2020-09-05_14:37:23;23.7;62.1;704
2020-09-05_14:57:23;23.6;67.8;691
2020-09-05_15:17:23;23.4;68.9;668
2020-09-05_15:37:23;23.2;65;679
2020-09-05_15:57:23;23.9;60;685
2020-09-05_16:17:24;24.8;64;713
2020-09-05_16:37:24;25.1;67.1;665
2020-09-05_16:57:24;25.2;55.5;679
2020-09-05_17:17:24;25.6;63.7;718
2020-09-05_17:37:24;25.5;73.5;678
2020-09-05_17:57:25;24.7;62.4;674
2020-09-05_18:17:25;24.1;66.9;670
2020-09-05_18:37:25;23.6;59.5;693
2020-09-05_18:57:25;23.4;62.5;708
2020-09-05_19:17:25;24.5;60.6;676
2020-09-05_19:37:26;24.8;70.7;705
2020-09-05_19:57:26;24.7;68.9;669
2020-09-05_20:17:26;25.0;63.8;711
2020-09-05_20:37:26;25.2;66.2;718
2020-09-05_20:57:26;25.4;60.2;714
2020-09-05_21:17:27;26.0;60;708
2020-09-05_21:37:27;25.8;57.1;688
2020-09-05_21:57:27;25.7;64.2;704
2020-09-05_22:17:27;25.8;54.9;722
2020-09-05_22:37:27;25.4;71.6;694
2020-09-05_22:57:27;25.5;64.4;674
2020-09-05_23:17:28;25.7;69.5;665
2020-09-05_23:37:28;25.7;59.8;671
2020-09-05_23:57:28;26.0;60.9;710
2020-09-06_00:17:28;25.4;61.1;721
2020-09-06_00:37:28;26.0;67.4;711
2020-09-06_00:57:29;25.8;65.8;710
2020-09-06_01:17:29;26.2;58.6;711
2020-09-06_01:37:29;25.8;56.5;720
2020-09-06_01:57:29;25.8;59.7;710
2020-09-06_02:17:29;25.8;64;707
2020-09-06_02:37:30;26.4;63.5;703
2020-09-06_02:57:30;26.1;62;715
2020-09-06_03:17:30;26.5;62.9;718
2020-09-06_03:37:30;26.2;68.6;667
2020-09-06_03:57:30;26.3;64.8;668
2020-09-06_04:17:31;26.1;63.9;714
2020-09-06_04:37:31;25.9;61.3;718
2020-09-06_04:57:31;26.0;36.3;640
2020-09-06_05:17:31;26.1;50.9;717
