date;temperature;humidity;moisture
2020-09-02_12:00:16;24.8;86.8;856
2020-09-02_12:30:16;24.7;83.2;818
2020-09-02_13:00:17;24.0;83.8;823
2020-09-02_13:30:17;22.8;92.6;812
2020-09-02_14:00:17;22.3;92.7;831
2020-09-02_14:30:18;22.7;92.2;866
2020-09-02_15:00:18;24.0;90.7;838
2020-09-02_15:30:18;24.2;88.4;887
2020-09-02_16:00:18;24.5;86.3;884
2020-09-02_16:30:19;24.3;83.1;878
2020-09-02_17:00:19;23.3;96.7;849
2020-09-03_22:36:59;26.3;93.6;705
2020-09-03_22:56:59;25.9;91.5;724
2020-09-03_23:16:59;26.5;91.6;718
2020-09-03_23:36:59;25.6;95.3;719
2020-09-03_23:57:00;25.9;94.0;719
2020-09-04_00:17:00;25.6;93.9;722
2020-09-04_00:37:00;26.1;93.5;668
2020-09-04_00:57:00;25.6;92.6;679
2020-09-04_01:17:00;25.5;94.7;673
2020-09-04_01:37:00;25.5;91.2;694
2020-09-04_01:57:01;25.4;94.0;721
2020-09-04_02:17:01;25.9;92.9;722
2020-09-04_02:37:01;25.5;94.0;651
2020-09-04_02:57:01;25.6;92.2;687
2020-09-04_03:17:02;25.5;92.1;688
2020-09-04_03:37:02;25.7;93.5;708
2020-09-04_03:57:02;25.1;91.5;717
2020-09-04_04:17:02;25.4;90.3;715
2020-09-04_04:37:02;25.7;92.7;722
2020-09-04_04:57:03;25.3;94.4;717
2020-09-04_05:17:03;25.3;90.9;721
2020-09-04_05:37:03;25.3;91.1;679
2020-09-04_05:57:03;25.4;93.6;715
2020-09-04_06:17:03;24.6;88.6;714
2020-09-04_06:37:04;24.8;90.4;669
2020-09-04_06:57:04;25.4;89.2;720
2020-09-04_07:17:04;25.6;92.7;673
2020-09-04_07:37:04;25.4;90.9;725
2020-09-04_07:57:04;25.5;86.9;635
2020-09-04_08:17:05;26.3;90.0;700
2020-09-04_08:37:05;25.9;90.4;718
2020-09-04_08:57:05;25.9;90.6;673
2020-09-04_09:17:05;25.9;91.4;714
2020-09-04_09:37:05;26.3;90.3;711
2020-09-04_09:57:06;26.5;92.3;724
2020-09-04_10:17:06;25.8;91.2;659
2020-09-04_10:37:06;26.0;95.7;707
2020-09-04_10:57:06;25.9;95.6;673
2020-09-04_11:17:06;25.9;95.9;666
2020-09-04_11:37:06;26.1;94.2;720
2020-09-04_11:57:07;26.1;96.3;717
2020-09-04_12:17:07;25.6;96.6;643
2020-09-04_12:37:07;26.4;92.8;674
2020-09-04_12:57:07;26.3;93.6;688
2020-09-04_13:17:08;26.4;95.4;720
2020-09-04_13:37:08;26.6;95.8;708
2020-09-04_13:57:08;26.9;94.7;675
2020-09-04_14:17:08;26.5;92.2;705
2020-09-04_14:37:08;26.3;96.2;671
2020-09-04_14:57:08;27.0;95.9;678
2020-09-04_15:17:09;26.4;94.1;715
2020-09-04_15:37:09;26.6;93.8;678
2020-09-04_15:57:09;26.7;92.7;673
2020-09-04_16:17:09;27.0;92.3;721
2020-09-04_16:37:10;26.7;89.3;680
2020-09-04_16:57:10;26.4;92.1;696
2020-09-04_17:17:10;26.9;90.6;682
2020-09-04_17:37:10;26.6;90.8;716
2020-09-04_17:57:10;26.8;84.4;673
2020-09-04_18:17:10;26.5;90.5;720
2020-09-04_18:37:11;26.3;91.7;676
2020-09-04_18:57:11;26.2;91.1;676
2020-09-04_19:17:11;26.3;93.3;672
2020-09-04_19:37:11;25.8;94.4;671
2020-09-04_19:57:11;25.3;93.7;679
2020-09-04_20:17:12;25.9;93.1;713
2020-09-04_20:37:12;26.9;92.9;683
2020-09-04_20:57:12;26.5;94.3;659
2020-09-04_21:17:12;26.5;93.8;668
2020-09-04_21:37:12;26.7;93.8;718
2020-09-04_21:57:13;26.6;94.3;712
2020-09-04_22:17:13;26.9;92.2;721
2020-09-04_22:37:13;26.9;93.0;699
2020-09-04_22:57:13;27.1;94.0;723
2020-09-04_23:17:13;26.9;93.8;692
2020-09-04_23:37:14;27.0;93.2;723
2020-09-04_23:57:14;26.9;95.1;718
2020-09-05_00:17:14;26.8;93.6;667
2020-09-05_00:37:14;27.0;95.3;717
2020-09-05_00:57:14;26.8;95.5;675
2020-09-05_01:17:15;26.4;96.4;717
2020-09-05_01:37:15;26.4;93.1;685
2020-09-05_01:57:15;26.3;96.2;716
2020-09-05_02:17:15;26.3;95.5;694
2020-09-05_02:37:15;26.3;95.0;713
2020-09-05_02:57:16;26.2;94.9;703
2020-09-05_03:17:16;26.3;94.7;688
2020-09-05_03:37:16;26.1;94.4;679
2020-09-05_03:57:16;26.4;94.6;679
2020-09-05_04:17:16;26.3;96.5;700
2020-09-05_04:37:17;26.1;93.8;669
2020-09-05_04:57:17;26.1;93.6;666
2020-09-05_05:17:17;26.2;96.1;719
2020-09-05_05:37:17;26.1;94.2;681
2020-09-05_05:57:17;26.4;93.5;677
2020-09-05_06:17:18;26.3;94.1;714
2020-09-05_06:37:18;26.3;94.2;721
2020-09-05_06:57:18;26.1;95.1;715
2020-09-05_07:17:18;26.1;93.6;705
2020-09-05_07:37:18;26.2;93.7;683
2020-09-05_07:57:19;25.7;87.5;671
2020-09-05_08:17:19;26.0;79.5;693
2020-09-05_08:37:19;26.4;78.2;710
2020-09-05_08:57:19;26.7;90.3;720
2020-09-05_09:17:19;26.7;81.8;685
2020-09-05_09:37:20;26.2;82.4;719
2020-09-05_09:57:20;26.0;90.4;719
2020-09-05_10:17:20;26.2;91.0;671
2020-09-05_10:37:20;26.5;90.1;715
2020-09-05_10:57:20;26.3;81.6;718
2020-09-05_11:17:21;26.3;85.8;679
2020-09-05_11:37:21;24.4;93.0;708
2020-09-05_11:57:21;23.3;79.6;689
2020-09-05_12:17:21;23.7;87.3;704
2020-09-05_12:37:21;25.4;84.3;678
2020-09-05_12:57:22;25.5;83.9;666
2020-09-05_13:17:22;25.9;83.1;708
2020-09-05_13:37:22;25.6;86.9;671
2020-09-05_13:57:22;24.7;82.5;714
2020-09-05_14:17:22;23.9;90.5;676
2020-09-05_14:37:23;23.7;82.1;704
2020-09-05_14:57:23;23.6;87.8;691
2020-09-05_15:17:23;23.4;88.9;668
2020-09-05_15:37:23;23.2;85.0;679
2020-09-05_15:57:23;23.9;80.0;685
2020-09-05_16:17:24;24.8;84.0;713
2020-09-05_16:37:24;25.1;87.1;665
2020-09-05_16:57:24;25.2;75.5;679
2020-09-05_17:17:24;25.6;83.7;718
2020-09-05_17:37:24;25.5;93.5;678
2020-09-05_17:57:25;24.7;82.4;674
2020-09-05_18:17:25;24.1;86.9;670
2020-09-05_18:37:25;23.6;79.5;693
2020-09-05_18:57:25;23.4;82.5;708
2020-09-05_19:17:25;24.5;80.6;676
2020-09-05_19:37:26;24.8;90.7;705
2020-09-05_19:57:26;24.7;88.9;669
2020-09-05_20:17:26;25.0;83.8;711
2020-09-05_20:37:26;25.2;86.2;718
2020-09-05_20:57:26;25.4;80.2;714
2020-09-05_21:17:27;26.0;80.0;708
2020-09-05_21:37:27;25.8;77.1;688
2020-09-05_21:57:27;25.7;84.2;704
2020-09-05_22:17:27;25.8;74.9;722
2020-09-05_22:37:27;25.4;91.6;694
2020-09-05_22:57:27;25.5;84.4;674
2020-09-05_23:17:28;25.7;89.5;665
2020-09-05_23:37:28;25.7;79.8;671
2020-09-05_23:57:28;26.0;80.9;710
